% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.512214	1	1	1	-89.6334	89.6576	0
0.513214	1	1	1	-89.1338	94.9555	0
0.514214	1	1	1	-89.1019	90.2716	0
0.515214	1	1	1	-89.3065	72.5314	0
0.516214	1	1	1	-89.7731	69.742	0
0.517214	1	1	1	-90.2455	60.4594	0
0.518214	1	1	1	-90.2157	64.919	0
0.519214	1	1	1	-90.1757	57.8268	0
0.520214	1	1	1	-90.2684	52.9699	0
0.521214	1	1	1	-90.3658	50.7784	0
0.522214	1	1	1	-90.7431	52.2866	0
0.523214	1	1	1	-90.1326	53.3434	0
0.524214	1	1	1	-89.8528	50.198	0
0.525214	1	1	1	-90.958	36.4293	0
0.526214	1	1	1	-90.9223	29.8423	0
0.527214	1	1	1	-90.7808	28.1386	0
0.528214	1	1	1	-90.2597	38.3327	0
0.529214	1	1	1	-91.0248	32.8914	0
0.530214	1	1	1	-91.1198	34.8226	0
0.531214	1	1	1	-90.6832	40.4289	0
0.532214	1	1	1	-90.2975	50.9593	0
0.533214	1	1	1	-90.7321	43.4164	0
0.534214	1	1	1	-91.0403	41.7394	0
0.535214	1	1	1	-90.5176	48.1256	0
0.536214	1	1	1	-91.0146	44.5754	0
0.537214	1	1	1	-91.7751	39.252	0
0.538214	1	1	1	-92.0952	32.847	0
0.539214	1	1	1	-91.4987	43.6412	0
0.540214	1	1	1	-91.1162	50.8177	0
0.541214	1	1	1	-91.7126	37.7937	0
0.542214	1	1	1	-92.4792	32.1406	0
0.543214	1	1	1	-92.7633	27.707	0
0.544214	1	1	1	-93.2921	23.4754	0
0.545214	1	1	1	-93.1546	27.249	0
0.546214	1	1	1	-93.5082	25.0384	0
0.547214	1	1	1	-94.0972	18.8791	0
0.548214	1	1	1	-94.0102	16.9967	0
0.549214	1	1	1	-93.4126	18.1191	0
0.550214	1	1	1	-93.3648	17.8643	0
0.551214	1	1	1	-94.0772	14.8488	0
0.552214	1	1	1	-93.4466	15.463	0
0.553214	1	1	1	-94.0392	15.095	0
0.554214	1	1	1	-94.1785	14.8982	0
0.555214	1	1	1	-94.1611	17.8085	0
0.556214	1	1	1	-94.2595	18.8456	0
0.557214	1	1	1	-94.2137	19.6756	0
0.558214	1	1	1	-94.5644	18.9091	0
0.559214	1	1	1	-95.2874	17.4944	0
0.560214	1	1	1	-95.1508	20.2395	0
0.561214	1	1	1	-95.5627	17.7689	0
0.562214	1	1	1	-96.0529	13.0651	0
0.563214	1	1	1	-95.7966	13.0238	0
0.564214	1	1	1	-95.4941	15.557	0
0.565214	1	1	1	-94.9841	16.4233	0
0.566214	1	1	1	-94.0277	18.5656	0
0.567214	1	1	1	-94.3032	18.8009	0
0.568214	1	1	1	-94.3859	18.7573	0
0.569214	1	1	1	-94.3489	16.3319	0
0.570214	1	1	1	-94.2965	20.1836	0
0.571214	1	1	1	-94.4563	16.6321	0
0.572214	1	1	1	-93.7358	18.866	0
0.573214	1	1	1	-93.4821	18.9292	0
0.574214	1	1	1	-92.9188	21.8779	0
0.575214	1	1	1	-92.8321	23.7633	0
0.576214	1	1	1	-92.8071	25.3272	0
0.577214	1	1	1	-92.2919	30.101	0
0.578214	1	1	1	-92.0755	27.4655	0
0.579214	1	1	1	-92.7713	21.8823	0
0.580214	1	1	1	-93.4392	17.1672	0
0.581214	1	1	1	-93.6714	17.9747	0
0.582214	1	1	1	-94.0343	18.179	0
0.583214	1	1	1	-94.0513	17.1222	0
0.584214	1	1	1	-94.039	13.6066	0
0.585214	1	1	1	-94.0035	14.7027	0
0.586214	1	1	1	-93.8025	15.1154	0
0.587214	1	1	1	-93.3176	15.3933	0
0.588214	1	1	1	-93.9875	12.055	0
0.589214	1	1	1	-93.5661	12.4482	0
0.590214	1	1	1	-92.9313	16.815	0
0.591214	1	1	1	-92.864	16.3356	0
0.592214	1	1	1	-93.0554	18.3601	0
0.593214	1	1	1	-92.5896	20.8704	0
